LOCATION,TIME,M3,CPI,c_m3,c_cpi
CHN,1994-01-01,3.139637,55.19324,31.948068649506663,24.256989523762797
CHN,1995-01-01,4.149277,64.46086,32.15785773960492,16.79122298310444
CHN,1996-01-01,5.278494,69.81959,27.214789468141092,8.31315312889094
CHN,1997-01-01,6.390172,71.76509,21.060514608901695,2.7864672364876326
CHN,1998-01-01,7.377696,71.21021,15.45379373199971,-0.7731893041588844
CHN,1999-01-01,8.452554,70.21222,14.569019921666587,-1.4014703790369407
CHN,2000-01-01,9.570215,70.45643,13.222760836547156,0.34781694696449617
CHN,2001-01-01,11.02125,70.9631,15.161989568677415,0.719125280687653
CHN,2002-01-01,12.87031,70.44366,16.777225813768855,-0.7319860603609524
CHN,2003-01-01,15.43409,71.23799,19.920110704404163,1.1276103484685525
CHN,2004-01-01,17.96733,73.96259,16.413277361995434,3.824644687476457
CHN,2005-01-01,20.84715,75.27647,16.028090985138018,1.7764115615745708
CHN,2006-01-01,24.34553,76.5181,16.781094777943274,1.6494264409582444
CHN,2007-01-01,28.61272,80.2038,17.52761184496702,4.816768842927355
CHN,2008-01-01,33.3419,84.95608,16.528243382663387,5.92525541183834
CHN,2009-01-01,42.06293,84.33746,26.15636781347193,-0.7281644821653813
CHN,2010-01-01,50.86009,87.01545,20.914282481034956,3.175326835785674
CHN,2011-01-01,58.84574,91.8482,15.701210910165514,5.553898761656699
CHN,2012-01-01,69.04137,94.25418,17.326029037955852,2.6195178566373643
CHN,2013-01-01,79.28802,96.72463,14.841319052620193,2.621050864799842
CHN,2014-01-01,89.45573,98.58334,12.82376580976546,1.9216511864661585
CHN,2015-01-01,100.0,100.0,11.78713761544397,1.4370176543014195
CHN,2016-01-01,112.0977,102.0,12.097700000000005,2.0
CHN,2017-01-01,123.0405,103.625,9.761841679178065,1.5931372549019607
CHN,2018-01-01,133.8814,105.775,8.810838707580041,2.0747889022919233
COL,1984-01-01,0.2940768,2.112573,25.441778862949707,16.362637895288806
COL,1985-01-01,0.3828012,2.619045,30.17048607710638,23.97417746037652
COL,1986-01-01,0.5098655,3.112856,33.193286750407246,18.854620672802493
COL,1987-01-01,0.6619101,3.838474,29.82053110084914,23.310361931293976
COL,1988-01-01,0.8348938,4.918623,26.134017293285005,28.140062952100234
COL,1989-01-01,1.087971,6.190648,30.312502021215153,25.86140470615455
COL,1990-01-01,1.44195,7.994468,32.5357017788158,29.13782208259943
COL,1991-01-01,1.839129,10.42066,27.54457505461354,30.348385908855967
COL,1992-01-01,2.612095,13.23743,42.02891694927327,27.030629537860367
COL,1993-01-01,3.631029,16.20808,39.00830559378583,22.441289585667306
COL,1994-01-01,5.300947,19.91117,45.990213793390254,22.8471848608842
COL,1995-01-01,7.241128,24.07204,36.600648902922444,20.897164757269426
COL,1996-01-01,9.105139,29.07832,25.741997655613872,20.79707411586222
COL,1997-01-01,11.58079,34.44692,27.18960138884207,18.462552169451317
COL,1998-01-01,13.97411,40.88204,20.666293059454485,18.681263811104174
COL,1999-01-01,14.82095,45.32731,6.060063932515203,10.873405534557456
COL,2000-01-01,15.31845,49.50765,3.3567348921627866,9.222563615621578
COL,2001-01-01,16.40767,53.45326,7.110510528153952,7.969697612389201
COL,2002-01-01,17.73617,56.84858,8.096823010214138,6.351941864724431
COL,2003-01-01,19.75187,60.9023,11.36491136474221,7.1307322012264835
COL,2004-01-01,22.40368,64.49631,13.42561489114702,5.90127138055541
COL,2005-01-01,26.41821,67.75428,17.91906508216506,5.051405266440825
COL,2006-01-01,30.83473,70.66261,16.71771100313005,4.292466837519352
COL,2007-01-01,36.6347,74.58094,18.809861477626047,5.545124925331795
COL,2008-01-01,42.2782,79.80053,15.40479381569931,6.998557540304528
COL,2009-01-01,48.44355,83.15298,14.58281099952222,4.201037261281353
COL,2010-01-01,52.31846,85.04154,7.998815115737801,2.271187394606902
COL,2011-01-01,59.76161,87.94791,14.226622878425696,3.4175886278635073
COL,2012-01-01,69.6442,90.73351,16.536686344293603,3.167329388498263
COL,2013-01-01,81.05434,92.5646,16.383474862228297,2.0180967318469256
COL,2014-01-01,90.71609,95.24696,11.920089658369925,2.897824870414827
COL,2015-01-01,100.0,100.0,10.234027943664685,4.990227509623403
COL,2016-01-01,109.9661,107.5143,9.966099999999997,7.514300000000005
COL,2017-01-01,116.666,112.1505,6.0926958398997515,4.312170567078042
COL,2018-01-01,123.2187,115.7844,5.616632095040545,3.240199553278863
COL,2019-01-01,132.6586,119.8664,7.661093648934788,3.5255181181575352
COL,2020-01-01,150.6557,122.8925,13.56647816274255,2.5245606775543434
CRI,2003-01-01,19.35322,40.8703,22.834692647012158,9.447584311110568
CRI,2004-01-01,24.06393,45.9034,24.34070402754683,12.314810510321669
CRI,2005-01-01,30.42361,52.23729,26.428268366804595,13.798302522253262
CRI,2006-01-01,37.80881,58.22922,24.27456833689362,11.470598876779396
CRI,2007-01-01,46.58451,63.67787,23.210727870038756,9.357243665637288
CRI,2008-01-01,58.15879,72.22629,24.845769548719094,13.424475410374134
CRI,2009-01-01,66.524,77.89078,14.383397591318522,7.8426982751017675
CRI,2010-01-01,67.16167,82.30154,0.9585563105044795,5.662749814548007
CRI,2011-01-01,69.51421,86.31621,3.50280152354759,4.878001067780743
CRI,2012-01-01,74.97219,90.19652,7.851603290895476,4.495459195903074
CRI,2013-01-01,81.87963,94.915,9.213336305101944,5.231332650084504
CRI,2014-01-01,93.69353,99.2044,14.428374920599897,4.5192013907180115
CRI,2015-01-01,100.0,100.0,6.730955702063957,0.8019805573139832
CRI,2016-01-01,103.3733,99.98252,3.3733000000000004,-0.017480000000006157
CRI,2017-01-01,107.3548,101.6081,3.8515748263816643,1.6258642010623452
CRI,2018-01-01,107.1229,103.865,-0.21601269808149798,2.221181185358256
CRI,2019-01-01,109.4531,106.042,2.1752585114854104,2.0959899870023655
CRI,2020-01-01,125.7808,106.8107,14.917530887658724,0.7249014541408079
CZE,1992-01-01,15.30348,36.0493,6.586004748615222,11.086493222513807
CZE,1993-01-01,17.7308,43.55226,15.861228949232448,20.813053235430353
CZE,1994-01-01,21.55649,47.92465,21.576522209939778,10.039410124755875
CZE,1995-01-01,25.8441,52.23333,19.89011198019715,8.990529925622832
CZE,1996-01-01,30.22497,56.80833,16.95114165322065,8.758775287732938
CZE,1997-01-01,32.26726,61.69167,6.756962868780354,8.596168906919116
CZE,1998-01-01,34.26958,68.29166,6.2054230820962095,10.698348739789328
CZE,1999-01-01,37.31651,69.75,8.891063152802,2.135458414687836
CZE,2000-01-01,39.75081,72.38333,6.523386029400928,3.775383512544804
CZE,2001-01-01,44.05944,75.75833,10.839099882492961,4.662675784603996
CZE,2002-01-01,40.28669,77.2,-8.56286416713422,1.9029854538768238
CZE,2003-01-01,42.53726,77.29166,5.586385975119831,0.11873056994817396
CZE,2004-01-01,45.55716,79.425,7.099422952959358,2.760116680117886
CZE,2005-01-01,48.41615,80.9,6.2756106833700755,1.8570978910922362
CZE,2006-01-01,54.41107,82.95,12.382066727734445,2.5339925834363375
CZE,2007-01-01,62.62323,85.31667,15.09281107686358,2.8531283905967437
CZE,2008-01-01,70.9817,90.74167,13.347235522664679,6.358663553089915
CZE,2009-01-01,77.03479,91.66666,8.527676851920985,1.0193662955508687
CZE,2010-01-01,78.13431,93.01667,1.427303170424685,1.472738288926434
CZE,2011-01-01,79.69527,94.8,1.997790727274605,1.9172154840632245
CZE,2012-01-01,84.10152,97.91666,5.52887266709806,3.28761603375527
CZE,2013-01-01,88.0103,99.325,4.64769245549903,1.4383047787782077
CZE,2014-01-01,92.7415,99.66666,5.375734431083636,0.3439818776742918
CZE,2015-01-01,100.0,99.975,7.826593272698843,0.3093712581519248
CZE,2016-01-01,108.7079,100.6583,8.707899999999995,0.683470867716932
CZE,2017-01-01,118.9602,103.125,9.431053308913157,2.450567911439
CZE,2018-01-01,125.4018,105.3417,5.414920284263135,2.149527272727276
CZE,2019-01-01,133.9613,108.3417,6.82565959978246,2.8478750580254544
CZE,2020-01-01,147.1606,111.7667,9.85306950589461,3.1612943123469512
DNK,1972-01-01,3.843366,15.34591,10.021446843203305,6.562307303442561
DNK,1973-01-01,4.389228,16.7736,14.20270668991712,9.303390936086542
DNK,1974-01-01,4.780162,19.3358,8.906668780933678,15.27519435303096
DNK,1975-01-01,5.577119,21.19313,16.672175545514982,9.605653761416653
DNK,1976-01-01,6.743409,23.10269,20.912051544892623,9.010278330760954
DNK,1977-01-01,7.370188,25.62602,9.294690563778646,10.922234596923568
DNK,1978-01-01,7.862725,28.24337,6.682828172090053,10.21364222770449
DNK,1979-01-01,8.60967,30.95786,9.499823534461644,9.611069783811214
DNK,1980-01-01,9.288785,34.76733,7.8878168385083445,12.30534022700536
DNK,1981-01-01,10.40886,38.85853,12.058358547431121,11.76736896390951
DNK,1982-01-01,11.41242,42.79134,9.641401652054101,10.120840906745562
DNK,1983-01-01,13.5581,45.74746,18.80127089609391,6.908220214650905
DNK,1984-01-01,16.55861,48.62533,22.130755784365082,6.290775487863155
DNK,1985-01-01,19.20595,50.90039,15.987694619294732,4.67875487940134
DNK,1986-01-01,22.11727,52.7726,15.158427466488249,3.6781839981972544
DNK,1987-01-01,23.19518,54.89405,4.873612340040155,4.019983855258227
DNK,1988-01-01,24.08935,57.38357,3.8549819402134364,4.535136321696065
DNK,1989-01-01,20.42743,60.12233,-15.20140643064258,4.77272501519163
DNK,1990-01-01,21.50722,61.71053,5.2859806642343115,2.641614188937788
DNK,1991-01-01,23.40102,63.18859,8.805415111762462,2.395150390054986
DNK,1992-01-01,25.92423,64.51305,10.782478712466391,2.0960429723151113
DNK,1993-01-01,27.38008,65.32453,5.615788781383277,1.2578540310836162
DNK,1994-01-01,29.25844,66.6258,6.860315966936549,1.9920082088612079
DNK,1995-01-01,28.65538,68.01402,-2.061148851408343,2.083607251245019
DNK,1996-01-01,30.75791,69.46021,7.337295823681271,2.1263116045779995
DNK,1997-01-01,33.33378,70.97594,8.374658746319234,2.1821557982620416
DNK,1998-01-01,35.26313,72.28591,5.787972441169287,1.8456536116323463
DNK,1999-01-01,36.60827,74.09146,3.814579136905887,2.4977896798975023
DNK,2000-01-01,36.53126,76.24255,-0.2103623033811602,2.90329006878795
DNK,2001-01-01,37.82433,78.025,3.539626062719983,2.3378677654407043
DNK,2002-01-01,39.11711,79.91666,3.417853006252836,2.42442806792693
DNK,2003-01-01,46.25934,81.575,18.258583008816363,2.075086721592231
DNK,2004-01-01,52.34085,82.51667,13.146555917140196,1.1543610174685897
DNK,2005-01-01,51.46756,84.01667,-1.668467363445577,1.8178145094803266
DNK,2006-01-01,58.40349,85.63333,13.476314012166107,1.9242133733698275
DNK,2007-01-01,65.9433,87.08334,12.90986206474989,1.693277605810735
DNK,2008-01-01,76.29362,90.05833,15.695787138344626,3.416256197798558
DNK,2009-01-01,81.45058,91.23333,6.759359432676019,1.3047099585346489
DNK,2010-01-01,83.83617,93.34167,2.928880309999012,2.310931761451652
DNK,2011-01-01,77.67901,95.91666,-7.34427634277662,2.7586714486681028
DNK,2012-01-01,87.56701,98.21667,12.72930744096763,2.3979254490304402
DNK,2013-01-01,77.41481,98.99167,-11.593635548364611,0.7890717532980966
DNK,2014-01-01,85.05178,99.55,9.864998699861165,0.5640171541706469
DNK,2015-01-01,100.0,100.0,17.57543463523045,0.45203415369161515
DNK,2016-01-01,100.4333,100.25,0.4333000000000027,0.25
DNK,2017-01-01,101.2909,101.4,0.853900051078667,1.1471321695760655
DNK,2018-01-01,101.0792,102.225,-0.2090019932688853,0.81360946745561
EA19,1991-01-01,28.40112,61.51399,9.571249946470378,4.31545620425578
EA19,1992-01-01,30.63949,63.83337,7.8812736962485985,3.770491883228518
EA19,1993-01-01,32.77438,65.99258,6.967772635902237,3.3825724695406203
EA19,1994-01-01,34.3281,67.86114,4.740654132892821,2.83146984100334
EA19,1995-01-01,35.40318,69.59326,3.1317783390283758,2.5524475421426676
